BuildingType,PrimaryPropertyType,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),UsageComplexity,HasNaturalGas,HasSteam,DensityPerFloor,IsLargeBuilding,IsDowntown
Nonresidential COS,Other,NORTHWEST,4,25557,25557,Residential Care Facility,Residential Care Facility,25557.0,,,,,2280352.5,1,0,0,6389.25,0,0
Nonresidential COS,Other,NORTHWEST,2,26994,26994,"Office, Other - Services",Other - Services,16243.0,Office,10751.0,,,3076813.25,2,1,0,13497.0,0,0
NonResidential,Warehouse,NORTHWEST,1,48112,48112,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,48112.0,,,,,1485945.875,1,0,0,48112.0,0,0
NonResidential,Other,NORTHWEST,1,20909,20909,"Other - Public Services, Parking",Other - Public Services,19050.0,Parking,0.0,,,1208029.25,2,1,0,20909.0,0,0
NonResidential,Small- and Mid-Sized Office,NORTHWEST,2,42793,26275,"Office, Parking",Office,26275.0,Parking,16518.0,,,1772188.5,2,0,0,13137.5,0,0
NonResidential,Other,NORTHWEST,2,45000,45000,Other - Recreation,Other - Recreation,45000.0,,,,,5912066.0,1,1,0,22500.0,0,0
NonResidential,Retail Store,NORTHWEST,1,26115,26115,Retail Store,Retail Store,26115.0,,,,,1689372.625,1,1,0,26115.0,0,0
NonResidential,Worship Facility,NORTHEAST,1,26033,26033,"Parking, Worship Facility",Worship Facility,30044.0,Parking,0.0,,,1149140.25,2,1,0,26033.0,0,0
NonResidential,K-12 School,MAGNOLIA / QUEEN ANNE,4,48660,48660,K-12 School,K-12 School,49468.0,,,,,1881516.125,1,1,0,12165.0,0,0
NonResidential,Senior Care Community,MAGNOLIA / QUEEN ANNE,2,46539,46539,Senior Care Community,Senior Care Community,46539.0,,,,,5400049.5,1,1,0,23269.5,0,0
NonResidential,Retail Store,DOWNTOWN,2,26400,26400,"Office, Parking, Retail Store",Retail Store,14428.0,Office,7200.0,Parking,2788.0,983595.875,3,1,0,13200.0,0,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,3,38148,38148,"Office, Retail Store",Office,37853.0,Retail Store,12495.0,,,1262255.75,2,0,0,12716.0,0,1
NonResidential,Mixed Use Property,LAKE UNION,2,28800,28800,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,14400.0,Office,14400.0,,,456953.0,2,1,0,14400.0,0,0
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,5,31945,31945,"Parking, Worship Facility",Worship Facility,31945.0,Parking,0.0,,,1806468.0,2,0,0,6389.0,0,0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,5,85963,52908,"Office, Parking",Office,52908.0,Parking,33055.0,,,4480961.0,2,0,0,10581.6,1,0
NonResidential,Retail Store,DOWNTOWN,4,34680,34680,Retail Store,Retail Store,34680.0,,,,,1169948.875,1,1,0,8670.0,0,1
NonResidential,Worship Facility,DOWNTOWN,3,75058,40548,Worship Facility,Worship Facility,75058.0,,,,,5587347.0,1,1,0,13516.0,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,3,57720,57720,Office,Office,25000.0,,,,,24105.5,1,0,0,19240.0,1,1
NonResidential,Retail Store,DOWNTOWN,1,36504,36504,Retail Store,Retail Store,16200.0,,,,,2100982.75,1,1,0,36504.0,0,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,35200,35200,Office,Office,35200.0,,,,,2998208.25,1,0,0,5866.666666666667,0,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,5,35840,35840,Office,Office,35840.0,,,,,1538750.625,1,1,0,7168.0,0,1
NonResidential,Other,DOWNTOWN,2,25920,25920,Bank Branch,Bank Branch,23230.0,,,,,1333432.125,1,0,0,12960.0,0,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,4,30525,30525,"Office, Retail Store",Office,15609.0,Retail Store,6104.0,,,2883139.0,2,0,1,7631.25,0,1
NonResidential,Other,EAST,4,49243,49243,Other/Specialty Hospital,Other/Specialty Hospital,52284.0,,,,,8476183.0,1,1,0,12310.75,0,0
NonResidential,Other,EAST,3,20411,20411,Social/Meeting Hall,Social/Meeting Hall,20411.0,,,,,2014475.875,1,1,0,6803.666666666667,0,0
NonResidential,Medical Office,EAST,2,30855,20570,Medical Office,Medical Office,21571.0,,,,,2946756.25,1,1,0,10285.0,0,0
NonResidential,Small- and Mid-Sized Office,EAST,3,73549,73549,"Office, Worship Facility",Office,41632.0,Worship Facility,31917.0,,,2828950.5,2,1,0,24516.33333333333,1,0
NonResidential,Other,EAST,5,45780,34380,"Other - Education, Parking",Other - Education,45780.0,Parking,4500.0,,,10834087.0,2,1,1,6876.0,0,0
NonResidential,Medical Office,EAST,3,39115,39115,Medical Office,Medical Office,50000.0,,,,,3735308.5,1,1,0,13038.333333333334,0,0
NonResidential,Other,EAST,3,38038,38038,"Food Service, Office, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,35886.0,Office,1184.0,Food Service,436.0,1107290.625,3,0,1,12679.333333333334,0,0
NonResidential,Worship Facility,EAST,3,37796,37796,"Parking, Worship Facility",Worship Facility,53000.0,Parking,17600.0,,,2465983.5,2,1,1,12598.666666666666,0,0
Nonresidential COS,Small- and Mid-Sized Office,Ballard,1,27744,27744,"Data Center, Office, Other",Office,18380.0,Other,6060.0,Data Center,3304.0,5355753.0,3,0,0,27744.0,0,0
NonResidential,Warehouse,BALLARD,1,36444,36444,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,36444.0,,,,,161311.0938,1,0,0,36444.0,0,0
NonResidential,Warehouse,BALLARD,1,27553,27553,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,27553.0,,,,,966677.125,1,1,0,27553.0,0,0
NonResidential,Distribution Center,BALLARD,1,57310,57310,Distribution Center,Distribution Center,57310.0,,,,,1253745.5,1,1,0,57310.0,1,0
NonResidential,Mixed Use Property,LAKE UNION,2,25920,25920,"Office, Other, Other - Services, Residence Hall/Dormitory, Restaurant",Office,10109.0,Other - Services,7016.0,Restaurant,3609.0,989079.5,5,1,0,12960.0,0,0
NonResidential,Restaurant,LAKE UNION,3,40686,40686,Restaurant,Restaurant,40686.0,,,,,2106073.5,1,1,0,13562.0,0,0
NonResidential,Retail Store,LAKE UNION,2,45271,45271,Retail Store,Retail Store,45271.0,,,,,2553763.5,1,1,0,22635.5,0,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,28380,16200,Office,Office,28380.0,,,,,1372213.375,1,1,0,5400.0,0,0
NonResidential,Large Office,LAKE UNION,5,508160,508160,"Food Service, Office, Parking",Office,329850.0,Parking,162894.0,Food Service,11846.0,28053172.0,3,1,0,101632.0,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,26176,26176,Office,Office,23730.0,,,,,966907.375,1,1,0,8725.333333333334,0,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1,37740,37740,"Office, Parking",Office,37481.0,Parking,0.0,,,7442314.5,2,1,0,37740.0,0,0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,26000,26000,Other,Other,49847.0,,,,,5277482.5,1,0,1,26000.0,0,0
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,3,23241,23241,Worship Facility,Worship Facility,23241.0,,,,,739210.5,1,1,0,7747.0,0,0
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1,155795,155795,Other,Other,155795.0,,,,,17673018.0,1,1,0,155795.0,1,0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,21018,21018,Other,Other,21018.0,,,,,1761137.5,1,0,1,21018.0,0,0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,30533,30533,Museum,Museum,28631.0,,,,,5903015.0,1,1,0,30533.0,0,0
NonResidential,Other,MAGNOLIA / QUEEN ANNE,2,33971,33971,Other - Recreation,Other - Recreation,50000.0,,,,,17686444.0,1,1,0,16985.5,0,0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,2,40600,40600,Other,Other,33000.0,,,,,2485521.0,1,1,1,20300.0,0,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,4,38038,38038,"Office, Parking",Office,38038.0,Parking,19600.0,,,2003807.75,2,0,0,9509.5,0,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,4,64596,40000,"Office, Parking",Office,41591.0,Parking,21350.0,,,2524228.25,2,1,0,10000.0,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,41466,35404,"Laboratory, Office, Parking",Office,35404.0,Laboratory,5000.0,Parking,1250.0,9190442.0,3,1,0,11801.333333333334,0,0
NonResidential,Large Office,LAKE UNION,6,130710,29910,"Bank Branch, Office, Parking, Restaurant",Office,120548.0,Parking,88960.0,Bank Branch,5436.0,7429423.0,4,1,0,4985.0,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,4,35780,35780,"Office, Parking, Retail Store",Office,22341.0,Retail Store,8214.0,Parking,5225.0,1912760.75,3,0,0,8945.0,0,0
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,4,25132,17824,"Office, Parking, Restaurant",Office,8061.0,Parking,8000.0,Restaurant,2095.0,564754.1875,3,0,0,4456.0,0,0
Nonresidential COS,Other,DOWNTOWN,1,49680,49680,Other,Other,49680.0,,,,,2844685.0,1,0,1,49680.0,0,1
Nonresidential COS,Other,DOWNTOWN,1,36314,36314,Other,Other,36314.0,,,,,1832808.75,1,1,1,36314.0,0,1
NonResidential,Other,DOWNTOWN,2,25920,25920,"Other - Entertainment/Public Assembly, Restaurant, Retail Store",Other - Entertainment/Public Assembly,11888.0,Restaurant,4329.0,Retail Store,4029.0,1257774.625,3,0,0,12960.0,0,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,4,47686,47686,"Office, Retail Store",Office,25500.0,Retail Store,8500.0,,,2071670.25,2,0,1,11921.5,0,1
NonResidential,Other,DOWNTOWN,3,49760,49760,Other,Other,24019.0,,,,,44293.5,1,0,0,16586.666666666668,0,1
Campus,Mixed Use Property,DOWNTOWN,2,49280,49280,"Food Sales, Office, Restaurant, Retail Store, Self-Storage Facility, Social/Meeting Hall",Retail Store,15614.0,Restaurant,9240.0,Social/Meeting Hall,8199.0,5437110.5,6,1,0,24640.0,0,1
Campus,Restaurant,DOWNTOWN,2,25380,25380,"Food Sales, Office, Restaurant",Restaurant,17114.0,Food Sales,6426.0,Office,1840.0,6901554.0,3,1,0,12690.0,0,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,40715,40715,"Non-Refrigerated Warehouse, Office, Retail Store",Office,20895.0,Retail Store,16260.0,Non-Refrigerated Warehouse,3560.0,2827772.75,3,1,0,6785.833333333333,0,1
NonResidential,Mixed Use Property,DOWNTOWN,4,82065,47265,"Office, Parking, Retail Store",Parking,36036.0,Office,27594.0,Retail Store,13945.0,1717130.875,3,0,0,11816.25,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,4,36160,36160,Office,Office,36160.0,,,,,1862176.875,1,0,0,9040.0,0,1
NonResidential,Mixed Use Property,DOWNTOWN,1,34617,34617,"Food Sales, Manufacturing/Industrial Plant, Office, Other - Entertainment/Public Assembly, Other - Restaurant/Bar, Restaurant, Retail Store, Self-Storage Facility",Other - Restaurant/Bar,6455.0,Office,5813.0,Manufacturing/Industrial Plant,5581.0,5136604.5,8,1,0,34617.0,0,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,5,66900,66900,Office,Office,68048.0,,,,,1634178.25,1,1,0,13380.0,1,1
NonResidential,Mixed Use Property,DOWNTOWN,3,29340,29340,"Multifamily Housing, Office, Restaurant",Office,12714.0,Multifamily Housing,11592.0,Restaurant,2836.0,2160420.0,3,1,0,9780.0,0,1
NonResidential,Other,DOWNTOWN,2,22710,22710,Food Service,Food Service,22710.0,,,,,287763.5,1,0,0,11355.0,0,1
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,50499,36959,"Office, Parking",Office,36959.0,Parking,13540.0,,,3205182.5,2,1,0,12319.666666666666,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,5,54465,44860,"Office, Parking",Office,57972.0,Parking,0.0,,,3600571.25,2,1,0,8972.0,1,0
NonResidential,K-12 School,EAST,2,45960,45960,K-12 School,K-12 School,45960.0,,,,,4167253.75,1,1,0,22980.0,0,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,2,21128,21128,Office,Office,21128.0,,,,,436604.0938,1,0,0,10564.0,0,0
NonResidential,Mixed Use Property,LAKE UNION,4,274442,274442,"Hotel, Multifamily Housing, Parking, Retail Store",Hotel,108763.0,Parking,105499.0,Multifamily Housing,58152.0,9155568.0,4,1,0,68610.5,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,51552,51552,"Data Center, Office",Office,54150.0,Data Center,650.0,,,1539066.375,2,0,0,17184.0,1,0
NonResidential,Hotel,LAKE UNION,4,38520,38520,Hotel,Hotel,38500.0,,,,,2804534.0,1,1,0,9630.0,0,0
NonResidential,Hotel,LAKE UNION,3,29186,24930,Hotel,Hotel,19000.0,,,,,867184.375,1,1,0,8310.0,0,0
NonResidential,Worship Facility,LAKE UNION,1,27338,27338,Worship Facility,Worship Facility,27338.0,,,,,581289.0,1,0,0,27338.0,0,0
NonResidential,Other,EAST,2,85750,20110,"K-12 School, Parking",Parking,65000.0,K-12 School,20000.0,,,2045592.0,2,1,0,10055.0,1,0
NonResidential,Laboratory,MAGNOLIA / QUEEN ANNE,2,34416,34416,"Laboratory, Office, Parking",Laboratory,20649.0,Office,13767.0,Parking,2000.0,12015936.0,3,1,0,17208.0,0,0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,3,45864,45864,Office,Office,45864.0,,,,,2590622.0,1,1,0,15288.0,0,0
NonResidential,K-12 School,NORTHWEST,2,49252,49252,K-12 School,K-12 School,61099.0,,,,,3485865.5,1,1,0,24626.0,0,0
Multifamily LR (1-4),Senior Care Community,North,4,89391,89391,"Parking, Senior Care Community",Senior Care Community,91694.0,Parking,3131.0,,,5572010.0,2,1,0,22347.75,1,0
SPS-District K-12,K-12 School,North,1,34005,34005,K-12 School,K-12 School,50337.0,,,,,991918.0,1,1,0,34005.0,0,0
SPS-District K-12,K-12 School,SOUTHWEST,1,41221,41221,K-12 School,K-12 School,60814.0,,,,,2246747.5,1,1,0,41221.0,0,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,33176,33176,"Office, Parking",Office,33176.0,Parking,15000.0,,,1426279.5,2,1,0,11058.666666666666,0,0
NonResidential,Retail Store,LAKE UNION,3,25194,21430,"Medical Office, Office, Retail Store",Retail Store,10751.0,Medical Office,8044.0,Office,2635.0,1878742.875,3,1,0,7143.333333333333,0,0
SPS-District K-12,K-12 School,SOUTHEAST,2,75605,75605,K-12 School,K-12 School,75605.0,,,,,2274873.5,1,1,0,37802.5,1,0
SPS-District K-12,K-12 School,SOUTHEAST,2,29525,29525,K-12 School,K-12 School,29525.0,,,,,1297812.75,1,1,0,14762.5,0,0
NonResidential,Worship Facility,GREATER DUWAMISH,99,21948,21948,Worship Facility,Worship Facility,21948.0,,,,,326001.1875,1,0,0,221.6969696969697,0,0
NonResidential,Other,EAST,3,31191,31191,"Other - Recreation, Self-Storage Facility",Other - Recreation,30095.0,Self-Storage Facility,1096.0,,,5876439.0,2,1,0,10397.0,0,0
SPS-District K-12,K-12 School,NORTH,1,42292,42292,K-12 School,K-12 School,43188.0,,,,,0.0,1,0,0,42292.0,0,0
NonResidential,Other,NORTH,1,37377,37377,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc), Retail Store","Repair Services (Vehicle, Shoe, Locksmith, etc)",31303.0,Retail Store,3468.0,Office,840.0,3040978.0,6,1,0,37377.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,29380,29380,"Non-Refrigerated Warehouse, Office, Other",Non-Refrigerated Warehouse,16768.0,Office,6837.0,Other,5775.0,856088.625,3,0,0,29380.0,0,0
NonResidential,Worship Facility,EAST,2,22688,22688,Worship Facility,Worship Facility,22688.0,,,,,331675.0,1,1,0,11344.0,0,0
NonResidential,Other,SOUTHEAST,2,22364,22364,"Adult Education, Parking",Adult Education,22364.0,Parking,0.0,,,1467029.75,2,1,0,11182.0,0,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,2,41262,41262,Office,Office,40738.0,,,,,1903455.875,1,0,0,20631.0,0,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,2,43183,43183,"Data Center, Office",Office,26580.0,Data Center,11497.0,,,7408342.0,2,1,0,21591.5,0,0
NonResidential,Worship Facility,NORTH,3,45680,45680,Worship Facility,Worship Facility,45680.0,,,,,2077039.375,1,1,0,15226.666666666666,0,0
NonResidential,Senior Care Community,LAKE UNION,14,724148,724148,Senior Care Community,Senior Care Community,726000.0,,,,,37797084.0,1,1,0,51724.857142857145,1,0
NonResidential,Worship Facility,SOUTHWEST,1,23562,23562,"Office, Worship Facility",Worship Facility,18278.0,Office,15212.0,,,531737.1875,2,0,0,23562.0,0,0
NonResidential,Small- and Mid-Sized Office,Ballard,4,28844,28844,"Office, Other",Office,10292.0,Other,10200.0,,,910718.6875,2,0,0,7211.0,0,0
SPS-District K-12,K-12 School,DELRIDGE,2,54528,54528,K-12 School,K-12 School,54285.0,,,,,1972078.625,1,0,0,27264.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,21101,21101,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,18373.0,Office,2728.0,,,675772.875,2,1,0,21101.0,0,0
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,2,45594,45594,Refrigerated Warehouse,Refrigerated Warehouse,45594.0,,,,,1351267.875,1,0,0,22797.0,0,0
NonResidential,Other,GREATER DUWAMISH,1,26660,26660,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,26660.0,,,,,2241280.5,1,0,0,26660.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,28126,28126,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,21780.0,Office,6346.0,,,870625.8125,2,1,0,28126.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,35000,35000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,35000.0,,,,,378714.4063,1,0,0,35000.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,26150,26150,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,26150.0,,,,,1208407.625,1,1,0,26150.0,0,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,2,24000,24000,Office,Office,24000.0,,,,,1088556.25,1,0,0,12000.0,0,0
NonResidential,K-12 School,EAST,5,43594,43594,K-12 School,K-12 School,40809.0,,,,,2478045.5,1,1,0,8718.8,0,0
NonResidential,Distribution Center,LAKE UNION,1,28080,28080,"Distribution Center, Office",Distribution Center,25580.0,Office,2500.0,,,794724.625,2,1,0,28080.0,0,0
Multifamily LR (1-4),Other,MAGNOLIA / QUEEN ANNE,4,32054,32054,"Other, Parking",Other,27000.0,Parking,5000.0,,,807185.5,2,0,0,8013.5,0,0
NonResidential,Senior Care Community,NORTHWEST,2,51298,51298,Senior Care Community,Senior Care Community,51298.0,,,,,5655578.0,1,1,0,25649.0,1,0
NonResidential,Worship Facility,NORTHWEST,1,22047,22047,"Parking, Worship Facility",Worship Facility,22898.0,Parking,0.0,,,265774.9063,2,0,0,22047.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,31600,31600,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31600.0,,,,,3363535.5,1,1,0,31600.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,35289,35289,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,35289.0,,,,,876425.0,1,1,0,35289.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,28920,28920,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,30000.0,,,,,1750419.0,1,1,0,28920.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,22176,22176,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22176.0,,,,,736428.625,1,1,0,22176.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,31300,31300,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31300.0,,,,,362874.0,1,1,0,31300.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,22000,22000,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,22000.0,Parking,0.0,,,700627.625,2,0,0,22000.0,0,0
NonResidential,Small- and Mid-Sized Office,NORTH,3,39927,39927,"Office, Parking",Office,39541.0,Parking,0.0,,,3568419.5,2,0,0,13309.0,0,0
NonResidential,Other,NORTH,1,30610,30610,"Office, Other - Recreation",Other - Recreation,23320.0,Office,7290.0,,,4294550.0,2,1,0,30610.0,0,0
NonResidential,Medical Office,NORTH,2,26930,20580,Medical Office,Medical Office,26930.0,,,,,1002995.0,1,0,0,10290.0,0,0
NonResidential,Medical Office,NORTH,2,38745,38745,"Medical Office, Parking",Medical Office,65069.0,Parking,0.0,,,2890379.0,2,1,0,19372.5,0,0
NonResidential,Self-Storage Facility,NORTHEAST,2,20296,20296,Self-Storage Facility,Self-Storage Facility,20296.0,,,,,855665.125,1,0,0,10148.0,0,0
NonResidential,Mixed Use Property,NORTHEAST,2,22135,22135,"Medical Office, Non-Refrigerated Warehouse, Office, Retail Store",Medical Office,10388.0,Office,8116.0,Retail Store,3200.0,1261634.5,4,1,0,11067.5,0,0
NonResidential,Medical Office,NORTHEAST,3,38378,38378,"Medical Office, Parking",Medical Office,35066.0,Parking,3312.0,,,1645605.125,2,1,0,12792.666666666666,0,0
NonResidential,Warehouse,NORTHEAST,2,33576,33576,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33576.0,,,,,1275231.75,1,1,0,16788.0,0,0
NonResidential,Supermarket / Grocery Store,NORTHEAST,1,33005,33005,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,34982.0,Parking,0.0,,,10642754.0,2,1,0,33005.0,0,0
NonResidential,Other,EAST,1,20971,20971,"Bank Branch, Medical Office, Parking, Retail Store",Parking,23483.0,Retail Store,10360.0,Medical Office,8509.0,729397.1875,4,0,0,20971.0,0,0
Multifamily MR (5-9),Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,5,45715,45715,Multifamily Housing,,,,,,,1289661.25,1,0,0,9143.0,0,0
Multifamily MR (5-9),Mixed Use Property,NORTH,5,614114,490053,"Multifamily Housing, Parking, Retail Store",Parking,124061.0,Multifamily Housing,116794.0,Retail Store,54555.0,10992344.0,3,1,0,98010.6,1,0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,3,23910,23910,"Office, Retail Store",Office,20000.0,Retail Store,3910.0,,,873577.3125,2,1,0,7970.0,0,0
NonResidential,Worship Facility,BALLARD,2,21765,21765,Worship Facility,Worship Facility,21765.0,,,,,431390.4063,1,1,0,10882.5,0,0
Campus,University,EAST,2,2200000,2200000,"College/University, Parking",College/University,1719643.0,Parking,318960.0,,,114648520.0,2,1,0,1100000.0,1,0
NonResidential,Worship Facility,CENTRAL,2,26560,26560,Worship Facility,Worship Facility,26560.0,,,,,1751483.875,1,1,0,13280.0,0,0
NonResidential,Warehouse,LAKE UNION,2,20140,20140,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,20140.0,,,,,116486.6016,1,0,0,10070.0,0,0
NonResidential,Retail Store,GREATER DUWAMISH,2,38845,38845,"Parking, Retail Store",Retail Store,38845.0,Parking,6000.0,,,6917280.0,2,1,0,19422.5,0,0
NonResidential,Supermarket / Grocery Store,GREATER DUWAMISH,1,26092,26092,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,25946.0,Parking,0.0,,,7619445.0,2,1,0,26092.0,0,0
SPS-District K-12,K-12 School,NORTH,1,38582,38582,K-12 School,K-12 School,40374.0,,,,,1848878.5,1,1,0,38582.0,0,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,25500,25500,Office,Office,25500.0,,,,,1213869.75,1,1,0,25500.0,0,0
NonResidential,Warehouse,GREATER DUWAMISH,1,41895,41895,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,37524.0,Office,2596.0,,,1242311.5,2,1,0,41895.0,0,0
NonResidential,Retail Store,GREATER DUWAMISH,2,56193,56193,Retail Store,Retail Store,56193.0,,,,,2497942.75,1,1,0,28096.5,1,0
NonResidential,K-12 School,BALLARD,3,35448,35448,K-12 School,K-12 School,35448.0,,,,,1379932.5,1,1,0,11816.0,0,0
NonResidential,Supermarket / Grocery Store,BALLARD,1,29214,29214,Supermarket/Grocery Store,Supermarket/Grocery Store,29214.0,,,,,9336239.0,1,1,0,29214.0,0,0
NonResidential,Supermarket / Grocery Store,BALLARD,1,89103,46068,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,47034.0,Parking,0.0,,,14029480.0,2,1,0,46068.0,1,0
NonResidential,Other,BALLARD,1,32000,32000,"Office, Other - Recreation",Other - Recreation,29880.0,Office,4700.0,,,1331122.125,2,1,0,32000.0,0,0
NonResidential,Mixed Use Property,BALLARD,2,31140,31140,"Non-Refrigerated Warehouse, Other, Retail Store",Other,14840.0,Retail Store,9400.0,Non-Refrigerated Warehouse,6900.0,935580.3125,3,1,0,15570.0,0,0
NonResidential,Warehouse,BALLARD,3,41478,41478,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,31932.0,Office,9546.0,,,3035962.25,2,1,0,13826.0,0,0
NonResidential,Warehouse,BALLARD,1,39840,39840,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,39840.0,,,,,752104.0,1,0,0,39840.0,0,0
Nonresidential COS,Other,BALLARD,1,30576,15000,"Library, Other - Services",Library,15000.0,Other - Services,3100.0,,,1533245.75,2,1,0,15000.0,0,0
NonResidential,Other,BALLARD,2,21528,21528,Social/Meeting Hall,Social/Meeting Hall,21528.0,,,,,306911.0938,1,1,0,10764.0,0,0
NonResidential,Other,BALLARD,2,30000,30000,"Parking, Strip Mall",Strip Mall,25828.0,Parking,0.0,,,1094940.75,2,1,0,15000.0,0,0
NonResidential,Other,BALLARD,2,30087,30087,Other,Other,30554.0,,,,,5274642.0,1,0,0,15043.5,0,0
NonResidential,Worship Facility,BALLARD,1,40445,40445,Worship Facility,Worship Facility,40445.0,,,,,786253.6875,1,1,0,40445.0,0,0
NonResidential,Retail Store,BALLARD,1,23500,23500,Retail Store,Retail Store,23500.0,,,,,1137967.5,1,1,0,23500.0,0,0
NonResidential,Retail Store,Ballard,1,22420,22420,Retail Store,Retail Store,23067.0,,,,,1404253.75,1,1,0,22420.0,0,0
NonResidential,Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1,25842,25842,Supermarket/Grocery Store,Supermarket/Grocery Store,25987.0,,,,,8518313.0,1,1,0,25842.0,0,0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,3,26389,26389,"Fitness Center/Health Club/Gym, Office",Office,16766.0,Fitness Center/Health Club/Gym,9623.0,,,1208035.375,2,0,0,8796.333333333334,0,0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,3,25859,25859,"Office, Parking",Office,25859.0,Parking,4000.0,,,858780.625,2,1,0,8619.666666666666,0,0
